region,Year,number_of_days
p35,2020,1
p35,2022,10
p35,2023,5
p35,2025,12
p35,2029,5
p35,2030,3
p35,2034,3
p35,2036,5
p35,2037,5
p35,2044,1
p35,2045,3
p35,2048,1
p35,2050,1
p35,2051,1
p35,2053,1
p35,2059,1
p35,2062,2
p35,2063,4
p35,2069,1
p35,2070,2
p35,2076,1
Wyoming,2020,1
Wyoming,2021,2
Wyoming,2022,3
Wyoming,2023,8
p86,2020,1
p86,2022,4
p86,2023,6
p86,2024,1
p86,2025,5
p86,2029,4
p86,2036,3
p86,2050,2
p86,2054,2
p86,2055,1
p86,2058,3
p86,2062,2
p86,2063,1
p86,2065,3
p86,2069,3
p86,2076,2
p124,2020,3
p124,2021,4
p124,2022,5
p124,2023,3
p124,2024,1
p124,2025,3
p124,2026,1
p124,2028,2
p124,2029,1
p124,2033,1
p124,2034,3
p124,2035,1
p124,2036,2
p124,2037,1
p124,2044,1
p124,2045,1
p124,2054,2
p124,2055,6
p124,2058,2
p124,2059,2
p124,2060,1
p124,2062,4
p124,2063,1
p124,2065,2
p124,2074,1
p124,2095,1
p113,2022,5
p113,2023,1
p113,2024,1
p113,2025,2
p113,2029,1
p113,2034,2
p113,2039,2
p113,2044,1
p113,2054,1
p113,2062,1
p113,2074,1
p31,2025,2
p31,2027,1
p31,2030,2
p31,2036,1
p31,2051,4
p31,2091,2
p68,2022,4
p68,2023,4
p68,2024,1
p68,2036,5
p68,2049,1
p82,2022,6
p82,2023,2
p82,2025,1
p82,2029,2
p82,2034,1
p82,2036,1
p82,2037,1
p82,2039,1
p82,2054,2
p82,2059,1
p117,2020,2
p117,2021,1
p117,2022,3
p117,2023,3
p117,2024,1
p117,2025,2
p117,2026,1
p117,2029,2
p117,2033,1
p117,2034,3
p117,2036,2
p117,2054,5
p117,2055,3
p117,2060,1
p117,2062,3
p117,2063,1
p117,2065,2
p117,2074,1
p117,2095,1
p120,2020,1
p120,2021,1
p120,2022,7
p120,2023,2
p120,2024,2
p120,2025,3
p120,2033,2
p120,2034,5
p120,2036,2
p120,2054,2
p120,2055,3
p120,2059,1
p120,2062,3
p120,2065,1
p120,2074,1
South Dakota,2021,1
South Dakota,2022,7
South Dakota,2023,9
p64,2022,2
p64,2023,5
p64,2025,2
p64,2029,4
p64,2036,2
p64,2051,2
p64,2054,1
p64,2058,1
p64,2062,1
p64,2063,1
p64,2069,3
p53,2020,1
p53,2021,1
p53,2022,3
p53,2023,5
p53,2025,2
p53,2029,2
p53,2036,3
p53,2041,1
p53,2050,1
p53,2062,1
p53,2063,1
p53,2069,2
Idaho,2020,1
Idaho,2022,3
Idaho,2023,4
p57,2021,1
p57,2022,4
p57,2023,6
p57,2025,3
p57,2028,1
p57,2029,4
p57,2036,4
p57,2050,2
p57,2051,1
p57,2054,1
p57,2058,2
p57,2062,2
p57,2063,1
p57,2065,1
p57,2068,1
p57,2069,2
p60,2022,1
p60,2023,3
p60,2025,1
p60,2029,3
p60,2036,1
p60,2051,2
p60,2053,1
p60,2069,2
Florida,2020,1
Florida,2021,3
Florida,2022,2
Florida,2023,2
p39,2020,2
p39,2021,1
p39,2022,4
p39,2023,10
p39,2024,3
p39,2025,7
p39,2026,2
p39,2028,2
p39,2029,11
p39,2030,5
p39,2033,2
p39,2034,1
p39,2036,4
p39,2037,2
p39,2038,2
p39,2046,1
p39,2049,1
p39,2051,1
p39,2054,3
p39,2056,2
p39,2057,1
p39,2062,1
p39,2063,6
p39,2064,1
p39,2065,2
p39,2069,6
p39,2070,4
p39,2076,1
p39,2078,1
p39,2086,1
p128,2020,1
p128,2021,5
p128,2022,4
p128,2025,1
p128,2027,1
p128,2028,1
p128,2034,2
p128,2035,1
p128,2044,1
p128,2045,1
p128,2051,1
p128,2054,1
p128,2055,2
p128,2056,1
p128,2058,1
Ohio,2022,4
Ohio,2023,1
p101,2020,1
p101,2021,2
p101,2022,2
p101,2023,2
p101,2025,2
p101,2026,1
p101,2029,2
p101,2036,1
p101,2040,1
p101,2043,1
p101,2050,1
p101,2061,1
p101,2063,2
p101,2065,2
p101,2066,1
p101,2069,1
Maine,2020,2
Maine,2021,3
Maine,2022,1
p10,2025,1
p10,2027,4
p10,2028,2
p10,2029,3
p10,2030,6
p10,2047,2
p10,2053,1
p10,2069,1
p10,2070,3
p27,2025,1
p27,2029,2
p27,2030,6
p27,2047,1
p27,2051,1
p27,2053,1
p27,2070,2
p49,2022,3
p49,2023,3
p49,2024,2
p49,2025,3
p49,2029,6
p49,2030,2
p49,2036,2
p49,2062,1
p49,2063,1
p49,2069,1
p49,2070,1
p49,2076,1
p94,2020,1
p94,2021,1
p94,2022,5
p94,2023,3
p94,2025,4
p94,2026,2
p94,2029,2
p94,2031,1
p94,2034,1
p94,2036,2
p94,2043,1
p94,2054,1
p94,2062,2
p94,2063,2
p94,2065,2
p94,2066,1
p94,2074,1
p94,2094,1
p132,2020,1
p132,2021,3
p132,2022,2
p132,2027,1
p132,2028,1
p132,2034,3
p132,2035,2
p132,2036,1
p132,2040,1
p132,2044,1
p132,2051,1
p132,2054,1
p132,2055,3
p132,2056,1
p132,2058,1
p105,2021,1
p105,2022,6
p105,2023,2
p105,2024,1
p105,2025,2
p105,2034,2
p105,2037,1
p105,2039,3
p105,2051,1
p105,2054,3
p105,2059,1
p105,2062,2
p105,2079,1
Maryland,2020,1
Maryland,2021,1
Maryland,2022,6
Maryland,2023,2
p4,2020,5
p4,2022,2
p4,2023,3
p4,2024,1
p4,2025,11
p4,2029,3
p4,2030,6
p4,2033,5
p4,2036,6
p4,2044,3
p4,2048,1
