region,Year,number_of_days
p107,2020,11
p107,2022,2
p107,2023,13
p107,2024,3
p107,2026,4
p107,2027,11
p107,2028,30
p107,2030,6
p107,2031,14
p107,2033,11
p107,2035,14
p107,2036,3
p107,2037,3
p107,2038,17
p107,2039,22
p107,2040,14
p107,2041,18
p107,2042,17
p107,2043,7
p107,2044,3
p107,2045,24
p107,2046,17
p107,2047,32
p107,2048,9
p107,2049,2
p107,2050,35
p107,2051,31
p107,2052,45
p107,2053,8
p107,2054,9
p107,2055,6
p107,2056,14
p107,2057,10
p107,2058,30
p107,2059,12
p107,2060,76
p107,2061,38
p107,2062,55
p107,2063,59
p107,2064,41
p107,2065,41
p107,2066,69
p107,2067,85
p107,2068,85
p107,2069,40
p107,2070,59
p107,2071,71
p107,2072,36
p107,2073,59
p107,2074,37
p107,2075,62
p107,2076,53
p107,2077,39
p107,2078,90
p107,2079,86
p107,2080,94
p107,2081,85
p107,2082,91
p107,2083,47
p107,2084,58
p107,2085,95
p107,2086,75
p107,2087,96
p107,2088,89
p107,2089,70
p107,2090,109
p107,2091,93
p107,2092,95
p107,2093,68
p107,2094,87
p107,2095,75
p107,2096,98
p107,2097,93
p107,2098,105
p107,2099,91
p69,2020,7
p69,2021,2
p69,2023,4
p69,2024,5
p69,2025,4
p69,2027,16
p69,2028,35
p69,2029,9
p69,2030,3
p69,2031,5
p69,2034,4
p69,2035,1
p69,2037,3
p69,2038,2
p69,2039,4
p69,2040,22
p69,2041,16
p69,2042,24
p69,2043,15
p69,2044,2
p69,2045,26
p69,2046,20
p69,2047,1
p69,2048,1
p69,2049,1
p69,2050,1
p69,2051,12
p69,2052,40
p69,2053,11
p69,2054,7
p69,2055,5
p69,2056,9
p69,2057,6
p69,2058,6
p69,2060,57
p69,2061,33
p69,2062,16
p69,2063,50
p69,2064,31
p69,2065,37
p69,2066,24
p69,2067,53
p69,2068,68
p69,2069,47
p69,2070,33
p69,2071,42
p69,2072,20
p69,2073,8
p69,2074,43
p69,2075,33
p69,2076,27
p69,2077,44
p69,2078,36
p69,2079,38
p69,2080,58
p69,2081,52
p69,2082,74
p69,2083,52
p69,2084,31
p69,2085,84
p69,2086,60
p69,2087,62
p69,2088,28
p69,2089,18
p69,2090,45
p69,2091,60
p69,2092,73
p69,2093,36
p69,2094,36
p69,2095,31
p69,2096,63
p69,2097,42
p69,2098,61
p69,2099,41
p17,2020,2
p17,2021,6
p17,2023,5
p17,2024,4
p17,2025,9
p17,2026,4
p17,2027,7
p17,2028,21
p17,2029,11
p17,2030,8
p17,2031,10
p17,2032,11
p17,2034,16
p17,2035,2
p17,2036,11
p17,2037,3
p17,2038,16
p17,2039,9
p17,2040,18
p17,2041,16
p17,2042,9
p17,2043,39
p17,2044,9
p17,2045,12
p17,2046,16
p17,2047,28
p17,2048,13
p17,2049,5
p17,2050,5
p17,2051,7
p17,2052,25
p17,2053,21
p17,2054,7
p17,2055,24
p17,2056,5
p17,2057,29
p17,2058,10
p17,2059,13
p17,2060,12
p17,2061,38
p17,2062,29
p17,2063,32
p17,2064,40
p17,2065,41
p17,2066,47
p17,2067,28
p17,2068,59
p17,2069,37
p17,2070,46
p17,2071,42
p17,2072,34
p17,2073,6
p17,2074,57
p17,2075,23
p17,2076,48
p17,2077,29
p17,2078,47
p17,2079,44
p17,2080,50
p17,2081,65
p17,2082,38
p17,2083,64
p17,2084,37
p17,2085,44
p17,2086,62
p17,2087,65
p17,2088,51
p17,2089,50
p17,2090,34
p17,2091,56
p17,2092,67
p17,2093,74
p17,2094,50
p17,2095,53
p17,2096,45
p17,2097,70
p17,2098,45
p17,2099,38
p46,2020,2
p46,2023,8
p46,2024,4
p46,2025,2
p46,2026,1
p46,2027,22
p46,2028,38
p46,2029,12
p46,2030,5
p46,2031,8
p46,2032,1
p46,2033,1
p46,2034,4
p46,2035,4
p46,2037,3
p46,2038,8
p46,2039,13
p46,2040,14
p46,2041,22
p46,2042,18
p46,2043,22
p46,2044,4
p46,2045,30
p46,2046,17
p46,2047,25
p46,2048,3
p46,2049,2
p46,2050,3
p46,2051,8
p46,2052,49
p46,2053,13
p46,2054,1
p46,2055,1
p46,2056,4
p46,2057,3
p46,2058,25
p46,2059,1
p46,2060,49
p46,2061,34
p46,2062,17
p46,2063,60
p46,2064,38
p46,2065,31
p46,2066,34
p46,2067,70
p46,2068,80
p46,2069,65
p46,2070,49
p46,2071,45
p46,2072,18
p46,2073,15
p46,2074,53
p46,2075,56
p46,2076,35
p46,2077,49
p46,2078,71
p46,2079,54
p46,2080,61
p46,2081,64
p46,2082,74
p46,2083,66
p46,2084,43
p46,2085,87
p46,2086,82
p46,2087,87
p46,2088,48
p46,2089,44
p46,2090,58
p46,2091,69
p46,2092,85
p46,2093,52
p46,2094,40
p46,2095,53
p46,2096,60
p46,2097,60
p46,2098,85
p46,2099,42
p3,2020,3
p3,2021,17
p3,2022,9
p3,2023,7
p3,2024,7
p3,2025,19
p3,2026,22
p3,2027,14
p3,2028,19
p3,2029,14
p3,2030,21
p3,2031,14
p3,2032,22
p3,2033,2
p3,2034,23
p3,2035,2
p3,2036,25
p3,2037,11
p3,2038,30
p3,2039,14
p3,2040,11
p3,2041,15
p3,2042,16
p3,2043,29
p3,2044,22
p3,2045,18
p3,2046,24
p3,2047,24
p3,2048,18
p3,2049,24
p3,2050,15
p3,2051,11
p3,2052,21
p3,2053,29
p3,2054,30
p3,2055,33
p3,2056,17
p3,2057,38
p3,2058,29
p3,2059,15
p3,2060,17
p3,2061,36
p3,2062,34
p3,2063,29
p3,2064,38
p3,2065,43
p3,2066,54
p3,2067,48
p3,2068,56
p3,2069,36
p3,2070,48
p3,2071,37
p3,2072,38
p3,2073,20
p3,2074,60
p3,2075,28
p3,2076,47
p3,2077,39
p3,2078,58
p3,2079,49
p3,2080,44
p3,2081,57
p3,2082,50
p3,2083,64
p3,2084,53
p3,2085,48
p3,2086,70
p3,2087,57
p3,2088,55
p3,2089,56
p3,2090,45
p3,2091,55
p3,2092,56
p3,2093,74
p3,2094,60
p3,2095,68
p3,2096,46
p3,2097,75
p3,2098,56
p3,2099,53
p38,2020,19
p38,2021,10
p38,2022,1
p38,2023,11
p38,2024,4
p38,2025,3
p38,2027,20
p38,2028,40
p38,2029,25
p38,2030,18
p38,2031,13
p38,2034,9
p38,2035,10
p38,2036,11
p38,2037,9
p38,2038,18
p38,2039,13
p38,2040,42
p38,2041,26
p38,2042,41
p38,2043,30
p38,2044,14
p38,2045,31
p38,2046,34
p38,2047,22
p38,2048,5
p38,2049,3
p38,2050,18
p38,2051,21
p38,2052,47
p38,2053,21
p38,2054,4
p38,2055,12
p38,2056,19
p38,2057,18
p38,2058,18
p38,2059,1
p38,2060,61
p38,2061,51
p38,2062,32
