region,Year,number_of_days
p101,2020,1
p101,2021,2
p101,2022,2
p101,2023,2
p101,2025,3
p101,2026,1
p101,2029,2
p101,2036,1
p101,2040,1
p101,2043,1
p101,2050,3
p101,2061,1
p101,2062,1
p101,2063,2
p101,2065,2
p101,2066,1
p101,2069,1
p101,2076,1
p101,2090,1
p116,2021,1
p116,2022,5
p116,2023,3
p116,2024,1
p116,2025,3
p116,2028,1
p116,2029,3
p116,2033,1
p116,2034,5
p116,2035,1
p116,2036,2
p116,2054,2
p116,2055,2
p116,2059,2
p116,2062,3
p116,2063,1
p116,2064,1
p116,2065,2
p116,2069,1
p116,2074,3
p116,2094,1
p116,2095,1
Alabama,2022,3
Alabama,2023,3
Alabama,2025,3
Alabama,2026,2
Alabama,2029,3
Alabama,2033,1
Alabama,2034,1
Alabama,2036,2
Alabama,2043,1
Alabama,2054,1
Alabama,2055,1
Alabama,2062,2
Alabama,2063,2
Alabama,2065,2
Alabama,2069,3
Alabama,2074,1
Alabama,2076,2
Alabama,2094,1
p19,2020,3
p19,2022,12
p19,2023,6
p19,2024,1
p19,2025,13
p19,2029,7
p19,2030,5
p19,2032,1
p19,2034,5
p19,2036,9
p19,2037,6
p19,2043,1
p19,2044,1
p19,2045,3
p19,2048,2
p19,2051,1
p19,2053,1
p19,2054,1
p19,2059,2
p19,2060,1
p19,2062,3
p19,2063,4
p19,2065,3
p19,2069,4
p19,2070,2
p19,2074,1
p19,2076,4
p19,2077,1
p19,2085,2
p106,2022,4
p106,2023,3
p106,2024,1
p106,2025,2
p106,2029,3
p106,2034,3
p106,2039,3
p106,2044,2
p106,2047,1
p106,2054,2
p106,2059,1
p106,2062,2
p106,2069,1
p106,2074,2
p106,2079,1
p111,2022,1
p111,2024,1
p111,2034,1
p111,2055,1
p121,2020,1
p121,2021,1
p121,2022,6
p121,2023,3
p121,2024,3
p121,2025,3
p121,2027,2
p121,2028,1
p121,2029,2
p121,2033,3
p121,2034,5
p121,2036,3
p121,2054,1
p121,2055,3
p121,2056,1
p121,2059,1
p121,2062,3
p121,2063,1
p121,2064,1
p121,2065,2
p121,2074,2
p121,2094,1
p121,2095,1
p81,2022,6
p81,2023,5
p81,2024,2
p81,2025,4
p81,2029,5
p81,2034,3
p81,2036,2
p81,2037,2
p81,2039,3
p81,2040,3
p81,2049,1
p81,2054,2
p81,2059,1
p81,2062,2
p81,2063,2
p81,2065,1
p81,2069,2
p81,2074,2
p81,2076,1
p81,2079,1
p81,2094,2
p96,2020,1
p96,2021,3
p96,2022,3
p96,2023,2
p96,2025,3
p96,2026,1
p96,2029,4
p96,2031,1
p96,2034,2
p96,2036,1
p96,2043,1
p96,2045,1
p96,2054,2
p96,2055,1
p96,2058,2
p96,2060,1
p96,2062,1
p96,2063,2
p96,2065,2
p96,2066,1
p96,2069,1
p96,2074,2
p96,2083,1
p96,2094,1
p29,2025,3
p29,2029,1
p29,2030,5
p29,2048,1
p29,2050,1
p29,2051,4
p29,2053,3
p29,2065,1
p29,2070,2
p29,2091,3
p126,2020,3
p126,2021,4
p126,2022,4
p126,2023,2
p126,2024,4
p126,2025,1
p126,2027,5
p126,2028,2
p126,2029,1
p126,2033,1
p126,2034,7
p126,2035,2
p126,2036,3
p126,2040,4
p126,2043,2
p126,2044,2
p126,2045,4
p126,2049,2
p126,2054,1
p126,2055,2
p126,2056,1
p126,2058,1
p126,2060,1
p126,2061,2
p126,2062,2
p126,2065,1
p126,2067,3
p126,2074,1
p126,2076,1
p126,2098,1
p131,2020,2
p131,2021,4
p131,2022,4
p131,2027,2
p131,2028,1
p131,2033,1
p131,2034,4
p131,2035,2
p131,2036,1
p131,2043,6
p131,2044,4
p131,2051,1
p131,2054,1
p131,2055,5
p131,2056,1
p131,2058,1
p131,2060,1
p131,2061,1
p131,2074,1
p131,2095,1
New Jersey,2020,3
New Jersey,2021,4
New Jersey,2022,4
New Jersey,2023,2
New Jersey,2024,4
New Jersey,2025,1
New Jersey,2027,5
New Jersey,2028,2
New Jersey,2029,1
New Jersey,2033,1
New Jersey,2034,7
New Jersey,2035,2
New Jersey,2036,3
New Jersey,2040,4
New Jersey,2043,2
New Jersey,2044,2
New Jersey,2045,4
New Jersey,2049,2
New Jersey,2054,1
New Jersey,2055,2
New Jersey,2056,1
New Jersey,2058,1
New Jersey,2060,1
New Jersey,2061,2
New Jersey,2062,2
New Jersey,2065,1
New Jersey,2067,3
New Jersey,2074,1
New Jersey,2076,1
New Jersey,2098,1
p86,2020,1
p86,2022,4
p86,2023,6
p86,2024,1
p86,2025,5
p86,2028,1
p86,2029,4
p86,2034,1
p86,2036,4
p86,2050,2
p86,2054,2
p86,2055,1
p86,2058,4
p86,2062,4
p86,2063,3
p86,2065,4
p86,2069,4
p86,2076,3
p91,2022,2
p91,2023,4
p91,2025,4
p91,2026,1
p91,2029,2
p91,2036,2
p91,2040,1
p91,2043,1
p91,2054,1
p91,2055,1
p91,2062,1
p91,2063,2
p91,2065,2
p91,2069,2
p91,2076,1
p91,2094,1
p39,2020,3
p39,2021,1
p39,2022,3
p39,2023,10
p39,2024,3
p39,2025,8
p39,2026,1
p39,2028,2
p39,2029,8
p39,2030,6
p39,2033,3
p39,2034,1
p39,2036,4
p39,2037,2
p39,2038,3
p39,2046,1
p39,2049,2
p39,2051,1
p39,2054,3
p39,2056,2
p39,2057,2
p39,2059,1
p39,2060,2
p39,2061,1
p39,2062,2
p39,2063,6
p39,2064,2
p39,2065,3
p39,2069,7
p39,2070,5
p39,2076,2
p39,2077,1
p39,2078,1
p39,2086,1
p39,2089,1
p39,2096,1
p8,2022,1
p8,2023,2
p8,2028,2
p8,2029,4
p8,2030,6
p8,2037,1
p8,2038,1
p8,2050,1
p8,2051,1
p8,2053,1
p8,2057,1
p8,2069,3
p8,2070,4
p8,2078,1
p59,2029,1
p59,2051,3
p59,2069,1
p59,2091,3
Kentucky,2020,3
Kentucky,2021,3
Kentucky,2022,4
Kentucky,2023,4
Kentucky,2024,4
Kentucky,2025,9
Kentucky,2026,2
Kentucky,2028,2
Kentucky,2029,6
Kentucky,2034,6
Kentucky,2035,2
Kentucky,2036,4
Kentucky,2037,4
Kentucky,2039,1
Kentucky,2040,2
Kentucky,2043,2
Kentucky,2044,2
Kentucky,2048,2
Kentucky,2049,1
Kentucky,2054,5
Kentucky,2055,4
Kentucky,2058,2
Kentucky,2059,2
Kentucky,2060,1
Kentucky,2062,3
Kentucky,2063,3
Kentucky,2064,1
