region,Year,number_of_days
New York,2095,1
New York,2096,2
New York,2097,5
New York,2098,9
New York,2099,23
Wisconsin,2070,3
Wisconsin,2071,8
Wisconsin,2072,24
Wisconsin,2073,27
Wisconsin,2074,37
Wisconsin,2075,43
Wisconsin,2076,45
Wisconsin,2077,49
Wisconsin,2078,55
Wisconsin,2079,59
Wisconsin,2080,59
Wisconsin,2081,69
Wisconsin,2082,69
Wisconsin,2083,74
Wisconsin,2084,80
Wisconsin,2085,83
Wisconsin,2086,86
Wisconsin,2087,89
Wisconsin,2088,91
Wisconsin,2089,91
Wisconsin,2090,94
Wisconsin,2091,96
Wisconsin,2092,98
Wisconsin,2093,101
Wisconsin,2094,103
Wisconsin,2095,104
Wisconsin,2096,106
Wisconsin,2097,110
Wisconsin,2098,110
Wisconsin,2099,113
p25,2020,1
p25,2021,1
p25,2022,1
p25,2023,1
p25,2024,1
p25,2025,1
p25,2026,1
p25,2027,1
p25,2028,1
p25,2029,1
p25,2030,1
p25,2031,1
p25,2032,1
p25,2033,1
p25,2034,1
p25,2035,1
p25,2036,1
p25,2037,1
p25,2038,1
p25,2039,1
p25,2040,1
p25,2041,1
p25,2042,1
p25,2043,1
p25,2044,1
p25,2045,1
p25,2046,1
p25,2047,1
p25,2048,1
p25,2049,1
p25,2050,1
p25,2051,1
p25,2052,1
p25,2053,1
p25,2054,1
p25,2055,1
p25,2056,1
p25,2057,1
p25,2058,1
p25,2059,1
p25,2060,1
p25,2061,1
p25,2062,1
p25,2063,1
p25,2064,1
p25,2065,1
p25,2066,1
p25,2067,1
p25,2068,1
p25,2069,1
p25,2070,1
p25,2071,1
p25,2072,1
p25,2073,1
p25,2074,1
p25,2075,1
p25,2076,1
p25,2077,1
p25,2078,1
p25,2079,1
p25,2080,1
p25,2081,1
p25,2082,1
p25,2083,1
p25,2084,1
p25,2085,1
p25,2086,1
p25,2087,1
p25,2088,1
p25,2089,1
p25,2090,1
p25,2091,1
p25,2092,1
p25,2093,1
p25,2094,1
p25,2095,1
p25,2096,1
p25,2097,1
p25,2098,1
p25,2099,1
p30,2020,1
p30,2021,1
p30,2022,1
p30,2023,1
p30,2024,1
p30,2025,1
p30,2026,1
p30,2027,1
p30,2028,1
p30,2029,1
p30,2030,1
p30,2031,1
p30,2032,1
p30,2033,1
p30,2034,1
p30,2035,1
p30,2036,1
p30,2037,1
p30,2038,1
p30,2039,1
p30,2040,1
p30,2041,1
p30,2042,1
p30,2043,1
p30,2044,1
p30,2045,1
p30,2046,1
p30,2047,1
p30,2048,1
p30,2049,1
p30,2050,1
p30,2051,1
p30,2052,1
p30,2053,1
p30,2054,1
p30,2055,1
p30,2056,1
p30,2057,1
p30,2058,1
