region,Year,number_of_days
New York,2095,1
New York,2096,1
New York,2097,1
New York,2098,1
New York,2099,1
Wisconsin,2070,3
Wisconsin,2071,3
Wisconsin,2072,3
Wisconsin,2073,3
Wisconsin,2074,3
Wisconsin,2075,3
Wisconsin,2076,3
Wisconsin,2077,3
Wisconsin,2078,3
Wisconsin,2079,3
Wisconsin,2080,3
Wisconsin,2081,3
Wisconsin,2082,3
Wisconsin,2083,3
Wisconsin,2084,3
Wisconsin,2085,3
Wisconsin,2086,3
Wisconsin,2087,3
Wisconsin,2088,3
Wisconsin,2089,3
Wisconsin,2090,3
Wisconsin,2091,3
Wisconsin,2092,3
Wisconsin,2093,3
Wisconsin,2094,3
Wisconsin,2095,3
Wisconsin,2096,3
Wisconsin,2097,3
Wisconsin,2098,3
Wisconsin,2099,3
p25,2033,1
p25,2034,1
p25,2035,1
p25,2036,1
p25,2037,1
p25,2038,1
p25,2039,1
p25,2040,1
p25,2041,1
p25,2042,1
p25,2043,1
p25,2044,1
p25,2045,1
p25,2046,1
p25,2047,1
p25,2048,1
p25,2049,1
p25,2050,1
p25,2051,1
p25,2052,1
p25,2053,1
p25,2054,1
p25,2055,1
p25,2056,1
p25,2057,1
p25,2058,1
p25,2059,1
p25,2060,1
p25,2061,1
p25,2062,1
p25,2063,1
p25,2064,1
p25,2065,1
p25,2066,1
p25,2067,1
p25,2068,1
p25,2069,1
p25,2070,1
p25,2071,1
p25,2072,1
p25,2073,1
p25,2074,1
p25,2075,1
p25,2076,1
p25,2077,1
p25,2078,1
p25,2079,1
p25,2080,1
p25,2081,1
p25,2082,1
p25,2083,1
p25,2084,1
p25,2085,1
p25,2086,1
p25,2087,1
p25,2088,1
p25,2089,1
p25,2090,1
p25,2091,1
p25,2092,1
p25,2093,1
p25,2094,1
p25,2095,1
p25,2096,1
p25,2097,1
p25,2098,1
p25,2099,1
p30,2032,9
p30,2033,9
p30,2034,9
p30,2035,9
p30,2036,9
p30,2037,9
p30,2038,9
p30,2039,9
p30,2040,9
p30,2041,9
p30,2042,9
p30,2043,9
p30,2044,9
p30,2045,9
p30,2046,9
p30,2047,9
p30,2048,9
p30,2049,9
p30,2050,9
p30,2051,9
p30,2052,9
p30,2053,9
p30,2054,9
p30,2055,9
p30,2056,9
p30,2057,9
p30,2058,9
p30,2059,9
p30,2060,9
p30,2061,9
p30,2062,9
p30,2063,9
p30,2064,9
p30,2065,9
p30,2066,9
p30,2067,9
p30,2068,9
p30,2069,9
p30,2070,9
p30,2071,9
p30,2072,9
p30,2073,9
p30,2074,9
p30,2075,9
p30,2076,9
p30,2077,9
p30,2078,9
p30,2079,9
p30,2080,9
p30,2081,9
p30,2082,9
p30,2083,9
p30,2084,9
p30,2085,9
p30,2086,9
p30,2087,9
p30,2088,9
p30,2089,9
p30,2090,9
p30,2091,9
p30,2092,9
p30,2093,9
p30,2094,9
p30,2095,9
p30,2096,9
p30,2097,9
p30,2098,9
p30,2099,9
p28,2033,14
p28,2034,14
p28,2035,14
p28,2036,14
p28,2037,14
p28,2038,14
p28,2039,14
p28,2040,14
p28,2041,14
p28,2042,14
p28,2043,14
p28,2044,14
p28,2045,14
p28,2046,14
p28,2047,14
p28,2048,14
p28,2049,14
p28,2050,14
p28,2051,14
p28,2052,14
p28,2053,14
p28,2054,14
p28,2055,14
p28,2056,14
p28,2057,14
p28,2058,14
p28,2059,14
p28,2060,14
p28,2061,14
p28,2062,14
p28,2063,14
p28,2064,14
p28,2065,14
p28,2066,14
p28,2067,14
p28,2068,14
p28,2069,14
p28,2070,14
p28,2071,14
p28,2072,14
p28,2073,14
p28,2074,14
p28,2075,14
p28,2076,14
p28,2077,14
p28,2078,14
p28,2079,14
p28,2080,14
p28,2081,14
p28,2082,14
p28,2083,14
p28,2084,14
p28,2085,14
p28,2086,14
p28,2087,14
p28,2088,14
p28,2089,14
p28,2090,14
p28,2091,14
p28,2092,14
p28,2093,14
p28,2094,14
p28,2095,14
p28,2096,14
p28,2097,14
p28,2098,14
p28,2099,14
p17,2045,12
p17,2046,12
p17,2047,12
p17,2048,12
p17,2049,12
p17,2050,12
p17,2051,12
p17,2052,12
p17,2053,12
p17,2054,12
p17,2055,12
p17,2056,12
p17,2057,12
p17,2058,12
p17,2059,12
p17,2060,12
p17,2061,12
p17,2062,12
p17,2063,12
p17,2064,12
p17,2065,12
p17,2066,12
p17,2067,12
p17,2068,12
p17,2069,12
p17,2070,12
p17,2071,12
p17,2072,12
p17,2073,12
p17,2074,12
p17,2075,12
p17,2076,12
p17,2077,12
p17,2078,12
p17,2079,12
p17,2080,12
p17,2081,12
p17,2082,12
p17,2083,12
p17,2084,12
p17,2085,12
p17,2086,12
p17,2087,12
p17,2088,12
p17,2089,12
p17,2090,12
p17,2091,12
p17,2092,12
p17,2093,12
p17,2094,12
p17,2095,12
p17,2096,12
p17,2097,12
p17,2098,12
p17,2099,12
Minnesota,2054,2
Minnesota,2055,2
Minnesota,2056,2
Minnesota,2057,2
Minnesota,2058,2
Minnesota,2059,2
Minnesota,2060,2
Minnesota,2061,2
Minnesota,2062,2
Minnesota,2063,2
Minnesota,2064,2
Minnesota,2065,2
Minnesota,2066,2
Minnesota,2067,2
Minnesota,2068,2
Minnesota,2069,2
Minnesota,2070,2
Minnesota,2071,2
Minnesota,2072,2
Minnesota,2073,2
Minnesota,2074,2
Minnesota,2075,2
Minnesota,2076,2
Minnesota,2077,2
Minnesota,2078,2
Minnesota,2079,2
Minnesota,2080,2
Minnesota,2081,2
Minnesota,2082,2
Minnesota,2083,2
Minnesota,2084,2
Minnesota,2085,2
Minnesota,2086,2
Minnesota,2087,2
Minnesota,2088,2
Minnesota,2089,2
Minnesota,2090,2
Minnesota,2091,2
Minnesota,2092,2
Minnesota,2093,2
Minnesota,2094,2
