region,Year,number_of_days
p20,2020,4
p20,2021,2
p20,2022,6
p20,2023,15
p20,2024,5
p20,2025,9
p20,2026,2
p20,2028,26
p20,2029,8
p20,2030,7
p20,2031,6
p20,2034,6
p20,2035,5
p20,2036,8
p20,2037,3
p20,2038,11
p20,2039,7
p20,2040,18
p20,2041,12
p20,2042,14
p20,2043,26
p20,2044,3
p20,2045,14
p20,2046,10
p20,2047,17
p20,2048,7
p20,2050,6
p20,2051,5
p20,2052,19
p20,2053,6
p20,2054,1
p20,2055,2
p20,2056,4
p20,2057,8
p20,2058,5
p20,2060,13
p20,2061,17
p20,2062,18
p20,2063,30
p20,2064,16
p20,2065,26
p20,2066,12
p20,2067,9
p20,2068,54
p20,2069,23
p20,2070,21
p20,2071,30
p20,2072,7
p20,2073,2
p20,2074,29
p20,2075,16
p20,2076,31
p20,2077,20
p20,2078,43
p20,2079,29
p20,2080,34
p20,2081,27
p20,2082,27
p20,2083,44
p20,2084,13
p20,2085,31
p20,2086,28
p20,2087,30
p20,2088,16
p20,2089,5
p20,2090,16
p20,2091,13
p20,2092,36
p20,2093,17
p20,2094,7
p20,2095,16
p20,2096,17
p20,2097,19
p20,2098,12
p20,2099,4
p130,2020,22
p130,2021,6
p130,2022,6
p130,2023,20
p130,2024,14
p130,2025,3
p130,2026,5
p130,2027,14
p130,2028,33
p130,2029,10
p130,2030,13
p130,2031,21
p130,2032,4
p130,2033,13
p130,2034,12
p130,2035,14
p130,2036,6
p130,2037,18
p130,2038,7
p130,2039,25
p130,2040,2
p130,2041,15
p130,2042,25
p130,2043,10
p130,2044,4
p130,2045,20
p130,2046,14
p130,2047,17
p130,2048,9
p130,2049,6
p130,2050,22
p130,2051,14
p130,2052,18
p130,2053,17
p130,2054,9
p130,2055,12
p130,2056,20
p130,2057,11
p130,2058,21
p130,2059,12
p130,2060,43
p130,2061,27
p130,2062,14
p130,2063,48
p130,2064,24
p130,2065,22
p130,2066,15
p130,2067,26
p130,2068,44
p130,2069,25
p130,2070,23
p130,2071,41
p130,2072,18
p130,2073,35
p130,2074,26
p130,2075,35
p130,2076,19
p130,2077,28
p130,2078,25
p130,2079,47
p130,2080,8
p130,2081,37
p130,2082,40
p130,2083,15
p130,2084,13
p130,2085,32
p130,2086,23
p130,2087,26
p130,2088,15
p130,2089,12
p130,2090,31
p130,2091,27
p130,2092,33
p130,2093,24
p130,2094,19
p130,2095,24
p130,2096,24
p130,2097,21
p130,2098,32
p130,2099,20
New Mexico,2020,26
New Mexico,2021,14
New Mexico,2022,2
New Mexico,2023,1
New Mexico,2025,7
New Mexico,2026,2
New Mexico,2027,3
New Mexico,2029,19
New Mexico,2030,13
New Mexico,2031,4
New Mexico,2032,6
New Mexico,2033,8
New Mexico,2034,28
New Mexico,2035,17
New Mexico,2036,18
New Mexico,2037,11
New Mexico,2038,18
New Mexico,2039,8
New Mexico,2040,22
New Mexico,2041,12
New Mexico,2042,35
New Mexico,2043,28
New Mexico,2044,11
New Mexico,2045,31
New Mexico,2046,19
New Mexico,2047,23
New Mexico,2048,13
New Mexico,2049,25
New Mexico,2050,25
New Mexico,2051,36
New Mexico,2052,25
New Mexico,2053,14
New Mexico,2054,12
New Mexico,2055,13
New Mexico,2056,25
New Mexico,2057,17
New Mexico,2058,31
New Mexico,2059,11
New Mexico,2060,58
New Mexico,2061,30
New Mexico,2062,17
New Mexico,2063,24
New Mexico,2064,5
New Mexico,2065,30
New Mexico,2066,21
New Mexico,2067,28
New Mexico,2068,10
New Mexico,2069,36
New Mexico,2070,26
New Mexico,2071,13
New Mexico,2072,18
New Mexico,2073,37
New Mexico,2074,69
New Mexico,2075,41
New Mexico,2076,62
New Mexico,2077,41
New Mexico,2078,43
New Mexico,2079,21
New Mexico,2080,59
New Mexico,2081,49
New Mexico,2082,58
New Mexico,2083,51
New Mexico,2084,40
New Mexico,2085,45
New Mexico,2086,37
